SID,DOM_TYPE,DESL_MEAN,CLAT_MEAN,CLON_MEAN,YEAR_START,MONTH_START,DAY_START,AREA_MAX,AREA_MEAN,OVERLAP_MEAN,DURATION,BI_MAX,BI_MEAN,Z500_MAX,Z500_MEAN,PERC_RIDGE,PERC_OMEGA,PERC_HYBRID,PERC_REX,PERC_POLAR
2019001,Ridge,,40.283700047553,-24.585116595892,2019,1,16,10150031,2650415.28,0.7181666666666665,25,5.438339710235596,2.916982668556899,5883.8,5812.548000000001,0.84,0.08,0,0.0,0.0
2019002,Rex block,,69.73175731512285,-146.1341039998436,2019,1,16,3258509,1990035.25,0.723,4,4.490089416503906,2.7748528006006277,5490.0,5431.400000000001,0.0,0.0,0,0.75,0.25
2019003,Ridge,,39.51645776347781,85.92394139345497,2019,1,19,1075479,953256.75,0.6763333333333333,4,3.403627872467041,2.5278279764784704,5693.2,5680.5,1.0,0.0,0,0.0,0.0
2019004,Rex block (polar),,81.2917449516214,-74.11121900779503,2019,1,21,917515,806794.2,0.6549999999999999,5,2.0404696464538574,0.13896406703241115,5214.5,5103.16,0.0,0.0,0,0.0,1.0
2019005,Rex block (polar),,78.6372261395429,41.676766062327154,2019,1,21,2151264,1376847.0,0.6204000000000001,6,2.8173446655273438,1.0907733111821565,5346.2,5296.433333333333,0.0,0.0,0,0.0,1.0
2019006,Ridge,,41.39850997322822,-121.03461914254636,2019,1,22,4236785,2497853.5,0.6766923076923077,14,7.279777526855469,3.6992383323766376,5872.8,5778.907142857142,0.6428571428571429,0.35714285714285715,0,0.0,0.0
2019007,Rex block,,67.3456194657753,-47.32931373155732,2019,1,22,4730553,3613929.4,0.79625,5,2.6247024536132812,1.069865349465134,5398.8,5316.679999999999,0.0,0.0,0,1.0,0.0
2019008,Rex block (polar),,74.36826239285077,-65.60473119154578,2019,1,26,3877566,2234107.285714286,0.6018333333333333,7,1.8951654434204102,0.38711865005620266,5290.2,5228.0,0.0,0.0,0,0.2857142857142857,0.7142857142857143
2019009,Rex block,,72.60583686827684,51.80140439086421,2019,1,28,6052143,3366132.9166666665,0.6493636363636363,12,2.5127053260803223,0.683203981527841,5417.5,5313.566666666667,0.0,0.0,0,0.6666666666666666,0.3333333333333333
2019010,Rex block (polar),,75.4823558559981,-8.773897638587378,2019,1,30,1387939,1021148.25,0.6686666666666667,4,1.6426682472229004,0.621551365102524,5391.0,5299.825,0.0,0.0,0,0.0,1.0
2019011,Ridge,,43.09898479967347,-152.77998063324864,2019,1,31,3072273,1982216.5416666667,0.7112608695652175,24,6.537628173828125,3.920418390305791,5851.8,5769.929166666666,0.7916666666666666,0.20833333333333334,0,0.0,0.0
2019012,Rex block (polar),,71.76709694910652,-58.57640782871809,2019,2,1,3637543,2164264.8333333335,0.6629999999999999,12,3.134775161743164,0.5865763774041836,5418.2,5283.391666666666,0.0,0.0,0,0.5,0.5
2019013,Omega block,,45.78658756944266,2.3949881616537234,2019,2,11,4985387,2668935.238095238,0.7482499999999999,21,6.922507286071777,3.6966717158821054,5859.0,5774.800000000001,0.38095238095238093,0.42857142857142855,0,0.0,0.0
2019014,Rex block,,72.19956626290328,69.13718352387556,2019,2,20,1462971,1116810.25,0.7336666666666667,4,2.3327231407165527,0.7648803801961647,5220.5,5174.375,0.0,0.0,0,1.0,0.0
2019015,Rex block,,57.450269093964174,-145.11319654750451,2019,2,24,2636774,1905911.6,0.65025,5,6.455492973327637,5.378905260280652,5654.5,5641.74,0.0,0.0,0,1.0,0.0
2019016,Rex block,,68.68565083362175,-55.14910968131492,2019,2,26,5729243,2711326.6666666665,0.6336,6,3.8387537002563477,1.353247347247496,5585.8,5358.2,0.0,0.0,0,1.0,0.0
2019017,Rex block,,65.6069551291613,-127.38498949964543,2019,3,2,1352801,1105288.6666666667,0.807,6,4.888808727264404,3.5361410105495925,5605.2,5507.75,0.0,0.0,0,1.0,0.0
2019018,Rex block,,73.3089132378805,-55.99709853656663,2019,3,4,2261080,1701486.5,0.6682,6,2.1287083625793457,0.6231471079784483,5316.8,5216.183333333333,0.0,0.0,0,0.8333333333333334,0.16666666666666666
2019019,Rex block,,68.19687963982291,42.626793811215656,2019,3,4,1901770,1442616.1666666667,0.6096,6,1.0300278663635254,0.40245623170325434,5258.5,5208.833333333333,0.0,0.0,0,1.0,0.0
2019020,Ridge,,41.23734749317315,9.464907966287967,2019,3,7,3339892,1563175.8,0.5715,5,2.3834705352783203,1.4557613970219405,5849.2,5794.64,1.0,0.0,0,0.0,0.0
2019021,Ridge,,43.838218955161985,-21.36539818584206,2019,3,12,10185466,4038277.76,0.7509583333333332,25,6.502890586853027,2.4133189770450834,5848.8,5795.6799999999985,0.44,0.24,0,0.0,0.0
2019022,Ridge,,41.389509985707306,83.08300410079978,2019,3,13,2097195,1524243.2,0.765,5,3.0624985694885254,2.455113416400658,5689.0,5680.4400000000005,1.0,0.0,0,0.0,0.0
2019023,Rex block (polar),,72.8348793286385,-33.934690506403626,2019,3,13,2411021,1573514.4444444445,0.657,9,2.3722290992736816,0.5688745279568774,5359.2,5227.722222222223,0.0,0.0,0,0.4444444444444444,0.5555555555555556
2019024,Rex block,,53.07695770903278,-127.11738705794625,2019,3,15,4933204,2429317.1333333333,0.6955000000000001,15,6.230640411376953,3.9633158425492954,5735.0,5672.673333333335,0.2,0.13333333333333333,0,0.4666666666666667,0.0
2019025,Rex block,,67.03312239832854,-12.691513540320887,2019,3,23,6987866,3727202.4285714286,0.6694,21,4.527747631072998,0.9650531801430705,5664.0,5395.138095238095,0.0,0.0,0,1.0,0.0
2019026,Ridge,,40.664300971337624,83.84019905754147,2019,3,25,5139539,2581576.361111111,0.804342857142857,36,3.908109664916992,2.0659861731311655,5818.8,5763.513888888889,1.0,0.0,0,0.0,0.0
2019027,Rex block,,64.7090515483772,-16.425126353229963,2019,4,3,5319177,3046245.777777778,0.621625,9,3.325331211090088,1.727574921800928,5621.2,5567.588888888889,0.0,0.0,0,1.0,0.0
2019028,Ridge,,39.02145106972994,-96.44348434978642,2019,4,5,2402567,1781863.4,0.737,5,2.7454495429992676,1.5165403041496184,5832.8,5780.64,1.0,0.0,0,0.0,0.0
2019029,Ridge,,38.57316687496457,-142.52593052185819,2019,4,9,1616441,1337303.3333333333,0.7758,6,4.53951358795166,3.0044939118938143,5913.0,5854.05,1.0,0.0,0,0.0,0.0
2019030,Rex block,,65.54526450304401,13.795112436295767,2019,4,10,2970586,1810203.875,0.652142857142857,8,5.0693511962890625,3.1803191536316735,5739.5,5645.75,0.0,0.0,0,1.0,0.0
2019031,Rex block (polar),,79.78139500113662,110.86738354213321,2019,4,13,1597705,1137902.0,0.70575,5,0.9156942367553711,0.1734796205812902,5324.5,5251.16,0.0,0.0,0,0.0,1.0
2019032,Rex block,,60.21355831284644,2.0819714263690954,2019,4,17,8663243,4219781.285714285,0.6134615384615384,14,5.10183572769165,2.723685984237104,5936.2,5728.7357142857145,0.0,0.21428571428571427,0,0.7142857142857143,0.0
2019033,Ridge,,43.94334397078307,-124.41887404950113,2019,4,17,3694970,1897928.7741935484,0.6993333333333335,31,4.280674457550049,2.284175576583726,5867.2,5789.8709677419365,0.7096774193548387,0.16129032258064516,0,0.03225806451612903,0.0
2019034,Rex block (polar),,76.59936752363468,-159.52668545316456,2019,4,17,1958406,1229652.6,0.7562222222222222,10,3.088200092315674,1.2230903126751056,5460.2,5350.9,0.0,0.0,0,0.2,0.8
2019035,Rex block,,56.618055905402116,160.69100867460287,2019,4,18,1390465,971941.0,0.5243333333333333,4,3.6794424057006836,2.7816617032557582,5584.0,5560.25,0.0,0.0,0,1.0,0.0
2019036,Ridge,,42.04279799557069,-19.480946384829394,2019,4,26,1983169,1414287.5555555555,0.7217499999999999,9,3.2166361808776855,1.7238418974895446,5794.5,5762.688888888889,1.0,0.0,0,0.0,0.0
2019037,Rex block (polar),,80.89045159014096,39.70675978315515,2019,4,26,1480802,1025592.5,0.7366666666666667,4,1.4236927032470703,0.12935950016067008,5374.5,5317.25,0.0,0.0,0,0.0,1.0
2019038,Rex block (polar),,73.23390908215204,-79.7399382328323,2019,4,29,6747756,3393542.8333333335,0.5833636363636363,12,3.5167574882507324,0.644763464953942,5688.2,5590.291666666667,0.0,0.0,0,0.16666666666666666,0.8333333333333334
2019039,Ridge,,41.690613871559805,98.43584889099935,2019,5,2,2124295,1352409.8,0.7402500000000001,5,2.0568251609802246,1.531011804597673,5768.5,5751.74,1.0,0.0,0,0.0,0.0
2019040,Omega block,,48.05378656026584,63.11964464412962,2019,5,4,6944876,4453939.923076923,0.8367499999999999,13,4.374372959136963,2.3253114819073137,5846.0,5808.453846153846,0.3076923076923077,0.6923076923076923,0,0.0,0.0
2019041,Rex block,,58.912182303320456,155.16293045162806,2019,5,8,1632047,1358284.2857142857,0.6961666666666666,7,2.8993964195251465,1.927426217711266,5614.5,5588.185714285714,0.0,0.0,0,1.0,0.0
2019042,Rex block (polar),,78.15715993504756,-25.58489209345046,2019,5,9,1663648,1187903.0,0.5990000000000001,4,1.8531560897827148,0.3156852457298947,5613.0,5530.925,0.0,0.0,0,0.0,1.0
2019043,Rex block,,67.47399618075744,-42.95940574410795,2019,5,11,6732401,2908338.8333333335,0.6593636363636364,12,3.6650538444519043,1.0848302814370614,5745.0,5612.558333333333,0.0,0.0,0,0.8333333333333334,0.16666666666666666
2019044,Rex block (hybrid),,53.07577013773399,2.292906118503341,2019,5,12,6638870,3962794.5,0.5562,6,3.691411018371582,2.5049292069338125,5874.0,5832.016666666667,0.16666666666666666,0.3333333333333333,0,0.16666666666666666,0.0
2019045,Rex block,,68.17012562920182,-145.46275491690042,2019,5,13,2266722,1842103.25,0.6893333333333332,4,2.1593213081359863,1.2081731944394793,5549.2,5534.3,0.0,0.0,0,1.0,0.0
2019046,Ridge,,40.76511104560549,-30.25262873357872,2019,5,16,997195,790059.5,0.8293333333333334,4,3.027057647705078,2.3252146136891243,5892.8,5867.325,1.0,0.0,0,0.0,0.0
2019047,Rex block,,65.22192139201128,-66.68158863524472,2019,5,17,6639139,3829818.1428571427,0.6303333333333333,7,2.730286121368408,1.3061693142450597,5699.5,5646.714285714285,0.0,0.0,0,0.8571428571428571,0.14285714285714285
2019048,Ridge,,42.51773705533076,154.5248125010232,2019,5,18,1887559,1276310.7142857143,0.7383333333333333,7,3.8589835166931152,2.7888932814601017,5848.2,5824.599999999999,1.0,0.0,0,0.0,0.0
2019049,Omega block,,46.772631714211514,37.978833615799616,2019,5,18,11127934,4590157.549019608,0.75744,51,3.5515189170837402,1.6174821325837798,5990.2,5865.096078431373,0.45098039215686275,0.5294117647058824,0,0.0,0.0
2019050,Rex block (polar),,82.06051780223507,-91.15719195552086,2019,5,21,1220020,942084.2,0.7887500000000001,5,0.8657455444335938,0.20381505609749068,5585.2,5529.839999999999,0.0,0.0,0,0.0,1.0
2019051,Rex block,,69.22545134897122,-62.782277815078054,2019,5,22,3371370,1605695.1,0.7282631578947368,20,3.3580780029296875,1.3645751419245944,5668.8,5596.4400000000005,0.0,0.0,0,0.8,0.2
2019052,Ridge,,43.58933235738195,-11.16456441867854,2019,5,22,3617677,2032740.0833333333,0.7129090909090909,12,3.0976057052612305,1.848243081533082,5901.8,5869.633333333334,0.6666666666666666,0.3333333333333333,0,0.0,0.0
2019053,Rex block (polar),,80.56879844291257,91.87200671469972,2019,5,23,1605206,1228328.6,0.57475,5,1.5883207321166992,0.3727401042519646,5537.2,5486.9400000000005,0.0,0.0,0,0.0,1.0
2019054,Ridge,,43.910152624453026,-134.30961085869694,2019,5,23,1966691,1232889.5454545454,0.6983999999999999,11,3.841674327850342,2.469458524690087,5911.0,5848.736363636365,0.9090909090909091,0.09090909090909091,0,0.0,0.0
2019055,Rex block,,65.26773402001167,-163.83391099127684,2019,5,23,2408826,1767109.6,0.6332500000000001,5,2.1724462509155273,1.1627948048416181,5641.2,5615.92,0.0,0.0,0,1.0,0.0
2019056,Ridge,,42.755814153052995,153.11269939592276,2019,5,25,2183575,1591689.6666666667,0.7364,6,3.8879871368408203,2.3891280922369647,5840.2,5819.483333333334,1.0,0.0,0,0.0,0.0
2019057,Rex block,,54.31804635786341,-117.67988148176165,2019,5,26,1412731,1286256.75,0.7986666666666666,4,3.589141368865967,3.0546392105052784,5740.0,5729.05,0.0,0.5,0,0.5,0.0
2019058,Rex block (polar),,81.20054136739641,-85.22017956397238,2019,5,27,3924210,2479978.5,0.6766,6,1.7776012420654297,0.2366888991100317,5631.0,5586.516666666666,0.0,0.0,0,0.0,1.0
2019059,Rex block,,68.58761712954532,87.69015706124863,2019,5,28,2853555,1515990.3333333333,0.5964999999999999,9,2.537524700164795,1.0405518488609522,5701.2,5628.9,0.0,0.0,0,0.6666666666666666,0.3333333333333333
2019060,Ridge,,43.94349449885519,-98.7497201524126,2019,5,31,2081206,1257634.9090909092,0.6501,11,3.148484230041504,1.7945855566313398,5894.8,5824.354545454546,1.0,0.0,0,0.0,0.0
2019061,Rex block,,71.35225277088624,-145.3569716964491,2019,6,1,2628907,1718443.1666666667,0.6424,6,2.112865447998047,0.59725056235301,5615.0,5578.533333333333,0.0,0.0,0,0.6666666666666666,0.3333333333333333
2019062,Rex block,,66.84128001245853,-18.026534422854418,2019,6,3,5373910,2905273.9411764704,0.7429375,17,2.7057528495788574,0.7920383277217585,5699.5,5644.700000000001,0.0,0.0,0,1.0,0.0
2019063,Ridge,,48.34486482669702,-35.25787570784768,2019,6,4,5024375,1750261.2222222222,0.644875,9,3.2866835594177246,2.211973897057443,5895.0,5866.022222222222,0.7777777777777778,0.1111111111111111,0,0.0,0.0
2019064,Rex block,,67.7683815498486,-23.1757343856751,2019,6,6,3377163,1791683.6,0.57125,5,2.491748332977295,0.7678130371849189,5714.5,5638.52,0.0,0.0,0,1.0,0.0
2019065,Ridge,,43.79485594617809,100.35920458260276,2019,6,7,1103797,836237.7142857143,0.7229999999999999,7,2.142977714538574,1.4285960830663609,5817.5,5803.1285714285705,1.0,0.0,0,0.0,0.0
2019066,Ridge,,44.40779154242943,-124.40741153826434,2019,6,9,2557646,1675936.9,0.802888888888889,10,3.6411285400390625,2.014345124694514,5923.5,5864.379999999999,1.0,0.0,0,0.0,0.0
2019067,Rex block,,66.38909990228085,-61.631681222000076,2019,6,13,2658506,1483225.4444444445,0.6417499999999999,9,2.3560166358947754,0.9204926415856782,5746.0,5635.988888888888,0.0,0.1111111111111111,0,0.8888888888888888,0.0
2019068,Rex block,,68.76279970975207,-17.862330612651228,2019,6,13,3225189,1881941.8,0.694,5,3.40043306350708,1.988713445579354,5883.8,5746.379999999999,0.0,0.0,0,1.0,0.0
2019069,Rex block,,70.34725071164854,74.31518822836033,2019,6,16,4689218,2894581.0,0.7641,11,2.793896198272705,1.488345287576099,5765.0,5744.927272727274,0.0,0.0,0,1.0,0.0
2019070,Rex block (polar),,76.98357001145216,-10.391710272230945,2019,6,18,753736,704794.25,0.7556666666666668,4,1.880645751953125,1.150367937864321,5514.5,5500.725,0.0,0.0,0,0.0,1.0
2019071,Ridge,,46.05662240491574,102.66776255507489,2019,6,18,3093924,1922665.0,0.6789999999999999,6,2.135908603668213,1.1966098905271634,5848.0,5828.766666666666,0.8333333333333334,0.16666666666666666,0,0.0,0.0
2019072,Rex block,,66.30278513875771,-40.9094569602232,2019,6,20,6764021,2353261.6470588236,0.6245625,17,3.52170467376709,1.2593435396898212,5833.0,5760.217647058824,0.0,0.0,0,0.8235294117647058,0.17647058823529413
2019073,Ridge,,44.156334179047946,-146.47210867119304,2019,6,20,2174361,1319146.6,0.70425,5,2.227950096130371,1.489537436446864,5914.5,5885.46,1.0,0.0,0,0.0,0.0
2019074,Rex block,,58.49110954036907,-133.69283869371262,2019,6,27,6907428,3831201.65,0.7476315789473683,20,3.273630142211914,1.4872189516302496,5906.2,5817.92,0.15,0.3,0,0.45,0.0
2019075,Rex block (polar),,75.7542655961122,-40.24849261387776,2019,6,28,4576625,2625953.9375,0.6974666666666668,16,2.5915026664733887,0.6440723214702941,5781.5,5695.168750000001,0.0,0.0,0,0.25,0.75
2019076,Ridge,,44.64081507738252,-91.63387923131928,2019,6,28,3527165,1927525.0,0.7855,13,2.2765636444091797,1.5815722147947942,5950.8,5892.407692307693,1.0,0.0,0,0.0,0.0
2019077,Ridge,,44.12430214795643,79.07782281967152,2019,6,29,1733092,1507073.2,0.6795,5,1.993393898010254,1.4166789269041415,5868.5,5841.08,1.0,0.0,0,0.0,0.0
2019078,Rex block (polar),,81.41899567991759,-21.8333493468746,2019,6,29,962828,817790.0,0.7616666666666667,4,0.8857965469360352,0.15946448524952467,5631.2,5607.725,0.0,0.0,0,0.0,1.0
2019079,Ridge,,47.56616530866631,-15.306687543192911,2019,7,6,1921987,1258589.6666666667,0.6536249999999999,9,2.7053475379943848,1.9343404758898382,5911.2,5872.044444444445,1.0,0.0,0,0.0,0.0
2019080,Ridge,,45.68875122593133,-98.89718233776333,2019,7,10,1542516,1016405.1111111111,0.814375,9,2.6714086532592773,1.433167147347343,5918.8,5879.622222222221,1.0,0.0,0,0.0,0.0
2019081,Rex block (polar),,81.121380576052,-87.2384298922865,2019,7,11,919752,810950.25,0.8343333333333334,4,0.9184956550598145,0.32363271298968577,5590.2,5572.55,0.0,0.0,0,0.0,1.0
2019082,Rex block,,63.20510145983457,89.76658035643504,2019,7,12,3809064,2359443.6153846155,0.72775,13,3.1148672103881836,1.9228205449597764,5877.2,5826.115384615385,0.0,0.3076923076923077,0,0.6923076923076923,0.0
2019083,Ridge,,52.34214720396116,36.21807927287398,2019,7,16,3998923,2324700.076923077,0.7182500000000002,13,3.68729829788208,1.709028863347809,5942.8,5904.676923076923,0.6153846153846154,0.23076923076923078,0,0.15384615384615385,0.0
2019084,Rex block,,67.88422211517795,-44.550568535212065,2019,7,19,3118878,2508355.4,0.7737499999999999,5,1.9478440284729004,0.8394139274483724,5675.5,5654.780000000001,0.0,0.0,0,1.0,0.0
2019085,Ridge,,46.9375276772696,58.51184898009341,2019,7,20,1854763,1313138.25,0.576,4,1.5549421310424805,0.9690750857703705,5874.8,5857.925,1.0,0.0,0,0.0,0.0
2019086,Rex block,,66.03642448808236,-142.23998338755024,2019,7,21,1833972,1397247.8,0.705,5,3.235602378845215,2.2695125091916273,5775.0,5737.9400000000005,0.0,0.0,0,1.0,0.0
